
200 0.0353564
300 0.118742
400 0.321818
500 0.549378
600 0.945913
700 1.50564
800 2.24402
900 3.23584
1000 4.41603
1100 6.03783
1200 7.85015
1300 9.91895
1400 12.8831
1500 15.6035
1600 18.6221
1700 21.9559
1800 25.9827
1900 31.2933
2000 35.6035
2100 41.4555
2200 48.1178
2300 56.5516
2400 62.289
2500 71.596
2600 79.3416
