x-axis;1;2;;diodo 1;
second;Volt;Volt;;Vd;Id
-4,58E+00;2,55E+10;1,91E+10;;6,46E+09;1,27E+16
-4,57E+00;2,55E+10;1,87E+10;;6,78E+09;1,25E+16
-4,57E+00;2,55E+10;1,87E+10;;6,78E+09;1,25E+16
-4,56E+00;2,60E+10;1,87E+10;;7,28E+09;1,25E+16
-4,56E+00;2,60E+10;1,87E+10;;7,28E+09;1,25E+16
-4,55E+00;2,60E+10;1,87E+10;;7,28E+09;1,25E+16
-4,55E+00;2,60E+10;1,84E+10;;7,59E+09;1,23E+16
-4,54E+00;2,55E+10;1,84E+10;;7,09E+09;1,23E+16
-4,54E+00;2,55E+10;1,87E+10;;6,78E+09;1,25E+16
-4,53E+00;2,55E+10;1,84E+10;;7,09E+09;1,23E+16
-4,53E+00;2,55E+10;1,84E+10;;7,09E+09;1,23E+16
-4,52E+00;2,55E+10;1,84E+10;;7,09E+09;1,23E+16
-4,52E+00;2,50E+10;1,81E+10;;6,90E+09;1,21E+16
-4,51E+00;2,55E+10;1,78E+10;;7,71E+09;1,19E+16
-4,51E+00;2,55E+10;1,84E+10;;7,09E+09;1,23E+16
-4,50E+00;2,50E+10;1,81E+10;;6,90E+09;1,21E+16
-4,50E+00;2,50E+10;1,81E+10;;6,90E+09;1,21E+16
-4,49E+00;2,55E+10;1,81E+10;;7,40E+09;1,21E+16
-4,49E+00;2,50E+10;1,78E+10;;7,21E+09;1,19E+16
-4,48E+00;2,50E+10;1,84E+10;;6,59E+09;1,23E+16
-4,48E+00;2,50E+10;1,81E+10;;6,90E+09;1,21E+16
-4,47E+00;2,50E+10;1,81E+10;;6,90E+09;1,21E+16
-4,47E+00;2,50E+10;1,81E+10;;6,90E+09;1,21E+16
-4,46E+00;2,50E+10;1,78E+10;;7,21E+09;1,19E+16
-4,46E+00;2,50E+10;1,78E+10;;7,21E+09;1,19E+16
-4,45E+00;2,50E+10;1,78E+10;;7,21E+09;1,19E+16
-4,45E+00;2,50E+10;1,78E+10;;7,21E+09;1,19E+16
-4,44E+00;2,50E+10;1,78E+10;;7,21E+09;1,19E+16
-4,44E+00;2,45E+10;1,78E+10;;6,71E+09;1,19E+16
-4,43E+00;2,50E+10;1,78E+10;;7,21E+09;1,19E+16
-4,43E+00;2,45E+10;1,78E+10;;6,71E+09;1,19E+16
-4,42E+00;2,50E+10;1,75E+10;;7,53E+09;1,17E+16
-4,42E+00;2,45E+10;1,72E+10;;7,34E+09;1,15E+16
-4,41E+00;2,50E+10;1,75E+10;;7,53E+09;1,17E+16
-4,41E+00;2,50E+10;1,75E+10;;7,53E+09;1,17E+16
-4,40E+00;2,50E+10;1,75E+10;;7,53E+09;1,17E+16
-4,40E+00;2,50E+10;1,75E+10;;7,53E+09;1,17E+16
-4,39E+00;2,40E+10;1,72E+10;;6,84E+09;1,15E+16
-4,39E+00;2,40E+10;1,72E+10;;6,84E+09;1,15E+16
-4,38E+00;2,45E+10;1,72E+10;;7,34E+09;1,15E+16
-4,38E+00;2,45E+10;1,72E+10;;7,34E+09;1,15E+16
