x-axis;1;2;;Segundo diodo;
second;Volt;Volt;;Vd;Id
-4,58E+00;3,40E+10;1,56E+10;;1,84E+10;1,47E+15
-4,57E+00;3,40E+10;1,56E+10;;1,84E+10;1,47E+15
-4,57E+00;3,40E+10;1,59E+10;;1,81E+10;1,50E+15
-4,56E+00;3,40E+10;1,59E+10;;1,81E+10;1,50E+15
-4,56E+00;3,40E+10;1,59E+10;;1,81E+10;1,50E+15
-4,55E+00;3,40E+10;1,59E+10;;1,81E+10;1,50E+15
-4,55E+00;3,45E+10;1,59E+10;;1,86E+10;1,50E+15
-4,54E+00;3,45E+10;1,59E+10;;1,86E+10;1,50E+15
-4,54E+00;3,50E+10;1,56E+10;;1,94E+10;1,47E+15
-4,53E+00;3,50E+10;1,59E+10;;1,91E+10;1,50E+15
-4,53E+00;3,45E+10;1,62E+10;;1,83E+10;1,53E+15
-4,52E+00;3,45E+10;1,62E+10;;1,83E+10;1,53E+15
-4,52E+00;3,45E+10;1,62E+10;;1,83E+10;1,53E+15
-4,51E+00;3,45E+10;1,62E+10;;1,83E+10;1,53E+15
-4,51E+00;3,50E+10;1,62E+10;;1,88E+10;1,53E+15
-4,50E+00;3,55E+10;1,62E+10;;1,93E+10;1,53E+15
-4,50E+00;3,50E+10;1,66E+10;;1,85E+10;1,57E+15
-4,49E+00;3,50E+10;1,66E+10;;1,85E+10;1,57E+15
-4,49E+00;3,55E+10;1,62E+10;;1,93E+10;1,53E+15
-4,48E+00;3,50E+10;1,66E+10;;1,85E+10;1,57E+15
-4,48E+00;3,50E+10;1,66E+10;;1,85E+10;1,57E+15
-4,47E+00;3,50E+10;1,66E+10;;1,85E+10;1,57E+15
-4,47E+00;3,50E+10;1,66E+10;;1,85E+10;1,57E+15
-4,46E+00;3,50E+10;1,69E+10;;1,82E+10;1,59E+15
-4,46E+00;3,50E+10;1,69E+10;;1,82E+10;1,59E+15
-4,45E+00;3,50E+10;1,69E+10;;1,82E+10;1,59E+15
-4,45E+00;3,50E+10;1,69E+10;;1,82E+10;1,59E+15
-4,44E+00;3,50E+10;1,69E+10;;1,82E+10;1,59E+15
